participant_id,stimulus_index,time_constraint,sentence_idx,sentence_text,initial_appraisal,eligible_for_reread_analysis,reread,initial_coverage,return_coverage,n_words_in_sentence,n_unique_initial_words,n_unique_returned_words
23,7,90,0,"Cooking has always been something I needed to do every day, but recently, I’ve started seeing it as a way to relax and enjoy myself.",0.42372881355932196,1,1,0.76,0.92,25,19,23
23,7,90,1,"Mindful cooking means paying full attention while making a meal, focusing on each step, and enjoying the process rather than rushing.",0.44266441821247887,1,1,0.6190476190476191,0.8571428571428571,21,13,18
23,7,90,2,"I start by choosing fresh ingredients, noticing their colors, textures, and smells.",0.5172413793103449,1,1,0.75,0.9166666666666666,12,9,11
23,7,90,3,"As I cut, stir, and season, I pay attention to the sounds of vegetables cooking, the feel of the dough, and the aroma of spices.",0.43222683264177036,0,0,0.44,0.68,25,11,17
23,7,90,4,This way of cooking has changed how I feel about making food.,0.5535055350553506,1,1,0.5833333333333334,0.5,12,7,6
23,7,90,5,"Now, instead of thinking of it as just another chore, I see it as a creative activity and a way to take care of myself.",0.43584379358437936,1,1,0.52,0.52,25,13,13
23,7,90,6,"It also makes the food taste better and more enjoyable, because each dish is made with care and attention.",0.47123015873015867,1,0,0.7894736842105263,0.0,19,15,0
22,0,90,0,The city has announced an expansion of its public bicycle program to meet growing demand for eco-friendly transportation.,0.4567307692307693,1,1,0.6111111111111112,0.8888888888888888,18,11,16
22,0,90,1,"Starting next month, 500 new bikes will be added to the fleet, and new docking stations will be installed across key areas.",0.4464285714285714,1,1,0.6363636363636364,0.5909090909090909,22,14,13
22,0,90,2,"Launched three years ago, the program has seen significant growth, with daily ridership up by 20% in the past year.",0.46125461254612543,1,1,0.65,0.5,20,13,10
22,0,90,3,"City officials believe the expansion will encourage more residents to bike rather than drive, especially for short trips.",0.4601226993865031,1,0,0.7777777777777778,0.1111111111111111,18,14,2
22,0,90,4,"The new bikes have GPS tracking and improved safety features, including reflective strips and better lighting.",0.4750593824228029,0,0,0.4375,0.0625,16,7,1
22,0,90,5,"Additionally, the city will launch a public awareness campaign to promote safe biking practices, including workshops and free helmets.",0.4472693032015066,1,1,0.631578947368421,0.8421052631578947,19,12,16
22,0,90,6,The goal is to reduce traffic congestion and pollution while promoting a healthier lifestyle.,0.4971590909090909,1,1,0.6428571428571429,0.35714285714285715,14,9,5
22,0,90,7,"With these initiatives, the city hopes to lead in sustainable urban transportation.",0.5136986301369862,1,0,0.5,0.0,12,6,0
5,1,30,0,"A local high school has launched a robotics program to inspire students to explore careers in science, technology, engineering, and mathematics (STEM).",0.4290171606864274,1,0,0.7727272727272727,0.09090909090909091,22,17,2
5,1,30,1,"The program, which began this week, offers hands-on experience in designing and building robots, along with lessons in coding, electronics, and problem-solving.",0.41724617524339364,1,0,0.5,0.0,22,11,0
5,1,30,2,The school partnered with local tech companies to provide resources and mentorship.,0.5119453924914675,0,0,0.25,0.5,12,3,6
5,1,30,3,Students will also have the opportunity to compete in regional and national robotics competitions.,0.49019607843137253,1,0,0.7857142857142857,0.0,14,11,0
5,1,30,4,"The principal expressed enthusiasm, stating it provides a unique chance for students to engage with cutting-edge technology.",0.4573170731707317,1,0,0.7058823529411765,0.058823529411764705,17,12,1
5,1,30,5,"Parents support the initiative, noting it prepares students for careers in a rapidly evolving job market.",0.4807692307692307,1,0,0.625,0.0,16,10,0
5,1,30,6,"The program is expected to grow, with plans for advanced courses and summer camps.",0.5147058823529412,1,0,0.5,0.0,14,7,0
5,1,30,7,"By investing in STEM education, the school aims to empower students to become innovators and leaders in technology.",0.46583850931677023,1,0,0.5555555555555556,0.0,18,10,0
6,6,90,0,"In today’s hyper-connected world, taking a step back from constant digital engagement can feel challenging but profoundly rewarding.",0.4456327985739751,1,1,0.7222222222222222,0.9444444444444444,18,13,17
